cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;tsh;25-80;89
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;t4-livre;34-60;59
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;ácido úrico;15-61;58
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;hemácias;45-52;0
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;leucócitos;9-61;53
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;plaquetas;11-93;2
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;hdl;19-75;53
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;ldl;45-54;44
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;vldl;48-72;59
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;glicemia;25-83;85
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;tgo;50-84;14
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;tgp;38-63;3
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;eletrólitos;2-68;27
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;tsh;25-80;89
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;t4-livre;34-60;59
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L14HPF;2021-12-26;ácido úrico;15-61;58
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;hemácias;45-52;63
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;leucócitos;9-61;43
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;plaquetas;11-93;67
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;hdl;19-75;65
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;ldl;45-54;90
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;vldl;48-72;68
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;glicemia;25-83;72
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;tgo;50-84;30
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;tgp;38-63;52
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;eletrólitos;2-68;64
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;tsh;25-80;72
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;t4-livre;34-60;93
084.796.691-79;Pietra de Quadros Filho;dorian_jacobs@smitham.name;1992-06-09;398 Ponte Enzo da Aldeia;Estrela do Norte;Rio Grande do Sul;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;BJ320U;2021-12-26;ácido úrico;15-61;32
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;hemácias;45-52;80
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;leucócitos;9-61;29
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;plaquetas;11-93;46
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;hdl;19-75;84
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;ldl;45-54;54
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;vldl;48-72;74
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;glicemia;25-83;83
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;tgo;50-84;78
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;tgp;38-63;16
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;eletrólitos;2-68;38
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;tsh;25-80;37
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;t4-livre;34-60;6
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;S170KV;2022-01-02;ácido úrico;15-61;20
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;hemácias;45-52;59
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;leucócitos;9-61;48
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;plaquetas;11-93;31
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;hdl;19-75;77
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;ldl;45-54;62
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;vldl;48-72;23
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;glicemia;25-83;13
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;tgo;50-84;73
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;tgp;38-63;91
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;eletrólitos;2-68;33
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;tsh;25-80;94
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;t4-livre;34-60;29
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;5N257C;2021-12-27;ácido úrico;15-61;30
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;hemácias;45-52;7
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;leucócitos;9-61;43
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;plaquetas;11-93;61
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;hdl;19-75;89
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;ldl;45-54;7
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;vldl;48-72;83
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;glicemia;25-83;18
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;tgo;50-84;20
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;tgp;38-63;52
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;eletrólitos;2-68;64
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;tsh;25-80;63
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;t4-livre;34-60;25
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;TY99AX;2021-12-29;ácido úrico;15-61;2
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;hemácias;45-52;6
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;leucócitos;9-61;18
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;plaquetas;11-93;97
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;hdl;19-75;85
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;ldl;45-54;7
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;vldl;48-72;88
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;glicemia;25-83;37
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;tgo;50-84;69
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;tgp;38-63;96
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;eletrólitos;2-68;66
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;tsh;25-80;59
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;t4-livre;34-60;59
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIW07Y;2021-12-30;ácido úrico;15-61;43
